"county","STATEABBREVIATION","dist_SSP","HIVprevalence","opioid_RxRate","pctunins","metro"
"contra costa county","CA",8.4,256.2,36.2,8.5,"metro"
"williamson county","TN",23.27,77.2,50.8,5.2,"metro"
"kinney county","TX",291,252.6,22.4,22.8,"non-metro"
"autauga county","AL",153.67,219.1,106.6,8.9,"metro"
"gregg county","TX",242.11,460.4,126.5,20,"metro"
"nicollet county","MN",17.8,49.5,19,3.5,"metro"
"summit county","UT",28.62,62.9,51.5,10.5,"non-metro"
"sabine county","TX",168.5,110.8,44.4,22.1,"non-metro"
"hamilton county","IN",15.62,81.1,46.9,6,"metro"
"pierce county","GA",206.75,126.1,62.5,18.8,"non-metro"
"cleburne county","AR",119.6,101,112.2,13.8,"non-metro"
"lincoln county","OK",156.4,93.4,17.7,15,"metro"
"galax city","VA",54,108,345.1,12.3,"non-metro"
"la plata county","CO",37.6,94.6,51.8,12.9,"non-metro"
"llano county","TX",318,141.7,56.9,17.8,"non-metro"
"somervell county","TX",328.67,82,5.1,19.5,"metro"
"yazoo county","MS",159,466.1,59.3,16.8,"metro"
"solano county","CA",16.4,328.1,37.7,9.2,"metro"
"fayette county","IA",72.07,52.9,60.4,7.6,"non-metro"
"lampasas county","TX",326.33,69.2,55.7,16.2,"metro"
"kay county","OK",180.5,89.8,77.8,15.9,"non-metro"
"gasconade county","MO",72.17,39.7,71.2,8.2,"non-metro"
"luce county","MI",177.5,89.2,111.5,9.8,"non-metro"
"payne county","OK",159.5,94.6,87.9,12.7,"non-metro"
"boone county","IA",128.75,71.4,56.6,6.2,"non-metro"
"nassau county","FL",266.6,170.3,103.2,13.3,"metro"
"kennebec county","ME",315.54,127.1,83.9,8.5,"non-metro"
"kenosha county","WI",11.45,147.4,53.4,8.7,"metro"
"madison county","NY",29.2,77.6,53,5.3,"metro"
"providence county","RI",136.08,323.4,48.4,9.6,"metro"
"humboldt county","NV",181.5,51.9,68.2,16.6,"non-metro"
"holmes county","MS",188.67,473.1,61,19.2,"non-metro"
"lorain county","OH",29.13,159.8,59.6,6.9,"metro"
"beadle county","SD",182.12,34.8,58.5,8.7,"non-metro"
"monroe county","GA",59.33,186.8,65.6,12.8,"metro"
"blount county","AL",127.12,99.8,48.9,11.2,"metro"
"seminole county","GA",193.5,292,150.1,18.5,"non-metro"
"hyde county","NC",53.4,-1,58.3,18.1,"non-metro"
"uinta county","WY",82.5,30.8,100.2,15.7,"non-metro"
"silver bow county","MT",90.17,71.6,87.4,13,"non-metro"
"bremer county","IA",86.71,38.3,43.2,3.4,"metro"
"salem county","NJ",14.1,272.6,60.6,8.9,"metro"
"wilkinson county","GA",95.4,225,82.3,10.7,"non-metro"
"nelson county","KY",29.78,-1,85.2,8.3,"non-metro"
"prince william county","VA",27.44,227.6,32.2,12.5,"metro"
"mesa county","CO",16.72,107.9,72.1,12.7,"metro"
"juniata county","PA",93.3,29.1,50.3,13.5,"non-metro"
"accomack county","VA",103,337,50.8,18,"non-metro"
"wayne county","OH",47.27,76,47.8,13,"non-metro"
"st. tammany parish","LA",34.8,208.2,92,11.6,"metro"
"wyoming county","WV",35.59,32.3,113.6,11.2,"non-metro"
"randolph county","GA",141,505.4,123.5,19.9,"non-metro"
"finney county","KS",210,-1,67.2,13.7,"non-metro"
"fulton county","KY",130.5,-1,157.7,11.1,"non-metro"
"richmond county","NY",10.77,514.6,39.3,6.6,"metro"
"orleans parish","LA",3.16,1432.3,59.8,14.2,"metro"
"effingham county","GA",191,134.7,72.3,11.7,"metro"
"martin county","IN",32.67,82,88.2,11.1,"non-metro"
"jones county","NC",23.5,-1,36.6,16.2,"metro"
"barber county","KS",253.12,-1,3,10.6,"non-metro"
"jefferson county","AR",166.8,477.1,103.8,10.5,"metro"
"decatur county","GA",200.2,666.4,111.8,19.3,"non-metro"
"woods county","OK",265,90.4,24.9,12,"non-metro"
"troup county","GA",62,205.7,94.2,13.9,"non-metro"
"alexander county","NC",14.67,-1,20,11.5,"metro"
"kodiak island borough","AK",150,-1,28.9,22.7,"non-metro"
"dallam county","TX",106.33,143.9,62.4,24.9,"non-metro"
"jasper county","IA",81.18,90.8,60.2,6.2,"non-metro"
"okmulgee county","OK",108.25,114.2,89.6,17.2,"metro"
"conecuh county","AL",199.2,310.4,84.9,19.1,"non-metro"
"leon county","TX",289.62,180.5,40,18.2,"non-metro"
"lincoln county","ME",302.92,76.6,37.8,11.4,"non-metro"
"gonzales county","TX",386.5,101.5,48.3,22.6,"non-metro"
"washington county","IA",22.75,71.8,41,8.6,"metro"
"burke county","NC",14.5,-1,125.3,13.8,"metro"
"livingston parish","LA",29.44,192.3,93.8,13.5,"metro"
"pike county","PA",63.64,132.1,40.2,8.4,"metro"
"logan county","AR",57.78,65.2,37.9,10.1,"non-metro"
"snohomish county","WA",12.79,154.8,60.9,9.3,"metro"
"nye county","NV",113.2,159.3,119.2,14.1,"non-metro"
"henry county","IA",44,65.7,65.3,5.5,"non-metro"
"kiowa county","KS",271.67,-1,75.5,8.9,"non-metro"
"butte county","CA",27.83,124.8,106.7,10.7,"metro"
"mcminn county","TN",68.83,95.9,133.1,11.6,"non-metro"
"monroe county","WV",46.11,250.6,33.4,10.7,"non-metro"
"osceola county","MI",72,71.8,63.2,12.4,"non-metro"
"wilcox county","AL",204.33,275,52.6,15.2,"non-metro"
"fairfield county","CT",31.26,325.2,37.2,10.1,"metro"
"union county","NC",35.88,-1,60.5,11.1,"metro"
"muskingum county","OH",46.5,90.3,85,8.8,"non-metro"
"dodge county","NE",205.5,-1,89,11.7,"non-metro"
"greene county","TN",28.86,82.7,107.9,12.1,"non-metro"
"nez perce county","ID",78.5,44.2,110.3,12.3,"metro"
"pleasants county","WV",15,214.7,100.7,6.9,"non-metro"
"benton county","TN",73.75,101.3,119,13.4,"non-metro"
"moore county","TX",124.75,107.6,51.2,19.5,"non-metro"
"kootenai county","ID",35.67,62.5,85,13.3,"metro"
"steuben county","IN",38.83,51,74,11.4,"non-metro"
"baker county","FL",270.75,467.6,105.4,12.5,"metro"
"fulton county","IN",51.2,59.8,83.6,12.2,"non-metro"
"valencia county","NM",13.2,122.3,70.7,12.2,"metro"
"lee county","TX",339.4,139,46.3,14.6,"non-metro"
"white county","GA",38.33,92.9,92,14,"non-metro"
"otter tail county","MN",58.95,28.7,48.5,6,"non-metro"
"jackson county","MO",10.12,478.5,68.6,13.3,"metro"
"jeff davis county","GA",168.5,49.6,84,18.2,"non-metro"
"deuel county","NE",148,-1,0.7,14.7,"non-metro"
"gadsden county","FL",218.86,690.8,53.2,15.8,"metro"
"guadalupe county","TX",386.71,109,45.3,14.5,"metro"
"marion county","AR",81,105.1,78.1,11.1,"non-metro"
"waldo county","ME",343.94,108.2,38.6,11.9,"non-metro"
"marshall county","IL",74.38,59,48.3,5.3,"metro"
"warren county","IA",108.82,39.3,38.4,4,"metro"
"sierra county","CA",22.62,265.3,12.4,8.1,"non-metro"
"houston county","AL",184.82,366.5,136.2,12.1,"metro"
"st. lawrence county","NY",116.29,278.6,65.7,8.6,"non-metro"
"rowan county","NC",14.23,-1,72.8,14.1,"metro"
"lee county","FL",113.33,333.5,60.8,16.9,"metro"
"lamb county","TX",54,189,2.6,21,"non-metro"
"cowlitz county","WA",14.2,139.1,76.6,9.1,"metro"
"miller county","MO",120.56,43.3,55.4,12.4,"non-metro"
"brooks county","TX",487,192.9,58.3,23.5,"non-metro"
"jefferson county","TX",176.59,599.3,79.9,21.5,"metro"
"lake county","OH",20.25,83.8,61.4,6.7,"metro"
"fillmore county","MN",47.17,40.7,29.2,9.3,"metro"
"colfax county","NE",221,-1,0.2,11.7,"non-metro"
"avery county","NC",30.29,-1,62,18.1,"non-metro"
"randall county","TX",85.38,117,69.5,12.6,"metro"
"st. francis county","AR",197.5,319.7,89.2,14.7,"non-metro"
